nome_associado,sobrenome_associado,idade_associado,vlr_transacao_movimento,des_transacao_movimento,data_movimento,numero_cartao,nome_impresso_cartao,data_criacao_cartao,tipo_conta,data_criacao_conta
CLIENTE190,SOBRENOME190,43,148.0,DESC 1,2025-01-11 00:00:00,81636295187,CLIENTE129,2024-01-29 18:12:55,POUPANCA,2024-06-01 00:00:00
CLIENTE10,SOBRENOME10,24,110.0,DESC 5,2025-01-17 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,148.0,DESC 5,2025-02-25 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,76.0,DESC 5,2025-01-10 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,92.0,DESC 5,2025-01-25 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,23.0,DESC 5,2025-01-05 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,118.0,DESC 5,2025-01-05 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,151.0,DESC 1,2025-02-06 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,182.0,DESC 3,2025-02-07 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,173.0,DESC 5,2025-02-10 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE10,SOBRENOME10,24,177.0,DESC 3,2025-02-19 00:00:00,68510543230,CLIENTE138,2024-04-02 02:05:30,EMPRESARIAL,2024-02-11 00:00:00
CLIENTE143,SOBRENOME143,70,16.0,DESC 5,2025-01-25 00:00:00,46016682819,CLIENTE60,2024-05-29 03:18:51,POUPANCA,2024-09-03 00:00:00
CLIENTE143,SOBRENOME143,70,88.0,DESC 5,2025-01-12 00:00:00,46016682819,CLIENTE60,2024-05-29 03:18:51,POUPANCA,2024-09-03 00:00:00
CLIENTE111,SOBRENOME111,62,181.0,DESC 5,2025-01-24 00:00:00,82602117041,CLIENTE78,2024-06-07 01:11:49,EMPRESARIAL,2024-07-26 00:00:00
CLIENTE111,SOBRENOME111,62,41.0,DESC 5,2025-02-02 00:00:00,82602117041,CLIENTE78,2024-06-07 01:11:49,EMPRESARIAL,2024-07-26 00:00:00
CLIENTE111,SOBRENOME111,62,24.0,DESC 5,2025-02-13 00:00:00,82602117041,CLIENTE78,2024-06-07 01:11:49,EMPRESARIAL,2024-07-26 00:00:00
CLIENTE111,SOBRENOME111,62,144.0,DESC 4,2025-02-17 00:00:00,82602117041,CLIENTE78,2024-06-07 01:11:49,EMPRESARIAL,2024-07-26 00:00:00
CLIENTE111,SOBRENOME111,62,14.0,DESC 1,2025-02-08 00:00:00,82602117041,CLIENTE78,2024-06-07 01:11:49,EMPRESARIAL,2024-07-26 00:00:00
CLIENTE8,SOBRENOME8,59,180.0,DESC 5,2025-01-30 00:00:00,69880591439,CLIENTE11,2024-03-30 22:37:57,EMPRESARIAL,2023-04-20 00:00:00
CLIENTE8,SOBRENOME8,59,103.0,DESC 5,2025-01-26 00:00:00,69880591439,CLIENTE11,2024-03-30 22:37:57,EMPRESARIAL,2023-04-20 00:00:00
CLIENTE8,SOBRENOME8,59,92.0,DESC 4,2025-01-13 00:00:00,69880591439,CLIENTE11,2024-03-30 22:37:57,EMPRESARIAL,2023-04-20 00:00:00
CLIENTE8,SOBRENOME8,59,105.0,DESC 3,2025-02-12 00:00:00,69880591439,CLIENTE11,2024-03-30 22:37:57,EMPRESARIAL,2023-04-20 00:00:00
CLIENTE10,SOBRENOME10,24,99.0,DESC 5,2025-01-13 00:00:00,80229715977,CLIENTE114,2024-01-05 18:43:07,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE10,SOBRENOME10,24,130.0,DESC 2,2025-01-30 00:00:00,80229715977,CLIENTE114,2024-01-05 18:43:07,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE10,SOBRENOME10,24,93.0,DESC 5,2025-02-20 00:00:00,91831493717,CLIENTE155,2024-05-29 15:16:21,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE10,SOBRENOME10,24,163.0,DESC 5,2025-02-23 00:00:00,91831493717,CLIENTE155,2024-05-29 15:16:21,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE10,SOBRENOME10,24,178.0,DESC 5,2025-01-10 00:00:00,91831493717,CLIENTE155,2024-05-29 15:16:21,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE10,SOBRENOME10,24,151.0,DESC 5,2025-01-13 00:00:00,91831493717,CLIENTE155,2024-05-29 15:16:21,EMPRESARIAL,2023-07-26 00:00:00
CLIENTE3,SOBRENOME3,80,174.0,DESC 5,2025-01-02 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE3,SOBRENOME3,80,49.0,DESC 5,2025-02-07 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE3,SOBRENOME3,80,11.0,DESC 5,2025-02-17 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE3,SOBRENOME3,80,157.0,DESC 5,2025-02-10 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE3,SOBRENOME3,80,7.0,DESC 4,2025-02-15 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE3,SOBRENOME3,80,188.0,DESC 4,2025-01-22 00:00:00,84478815997,CLIENTE77,2024-04-27 18:52:42,EMPRESARIAL,2023-08-19 00:00:00
CLIENTE167,SOBRENOME167,46,154.0,DESC 5,2025-02-17 00:00:00,47706478504,CLIENTE36,2024-01-05 09:39:02,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,160.0,DESC 5,2025-02-26 00:00:00,47706478504,CLIENTE36,2024-01-05 09:39:02,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,32.0,DESC 5,2025-02-14 00:00:00,47706478504,CLIENTE36,2024-01-05 09:39:02,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,27.0,DESC 5,2025-01-03 00:00:00,47706478504,CLIENTE36,2024-01-05 09:39:02,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,96.0,DESC 5,2025-02-08 00:00:00,47706478504,CLIENTE36,2024-01-05 09:39:02,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,149.0,DESC 5,2025-01-28 00:00:00,60494049535,CLIENTE33,2024-02-08 14:25:49,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,42.0,DESC 2,2025-01-17 00:00:00,60494049535,CLIENTE33,2024-02-08 14:25:49,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,188.0,DESC 5,2025-01-13 00:00:00,52712045682,CLIENTE1,2024-06-25 21:04:35,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,111.0,DESC 5,2025-01-22 00:00:00,52712045682,CLIENTE1,2024-06-25 21:04:35,POUPANCA,2023-03-23 00:00:00
CLIENTE167,SOBRENOME167,46,11.0,DESC 5,2025-02-05 00:00:00,52712045682,CLIENTE1,2024-06-25 21:04:35,POUPANCA,2023-03-23 00:00:00
CLIENTE4,SOBRENOME4,48,41.0,DESC 5,2025-01-31 00:00:00,48075577688,CLIENTE197,2024-06-16 20:41:15,EMPRESARIAL,2023-03-30 00:00:00
CLIENTE4,SOBRENOME4,48,51.0,DESC 5,2025-01-11 00:00:00,48075577688,CLIENTE197,2024-06-16 20:41:15,EMPRESARIAL,2023-03-30 00:00:00
CLIENTE4,SOBRENOME4,48,127.0,DESC 5,2025-01-17 00:00:00,48075577688,CLIENTE197,2024-06-16 20:41:15,EMPRESARIAL,2023-03-30 00:00:00
CLIENTE4,SOBRENOME4,48,60.0,DESC 4,2025-02-03 00:00:00,48075577688,CLIENTE197,2024-06-16 20:41:15,EMPRESARIAL,2023-03-30 00:00:00
CLIENTE194,SOBRENOME194,24,24.0,DESC 4,2025-02-20 00:00:00,67947883748,CLIENTE113,2024-03-17 20:36:21,EMPRESARIAL,2023-05-02 00:00:00
CLIENTE194,SOBRENOME194,24,29.0,DESC 5,2025-02-19 00:00:00,78858640785,CLIENTE97,2024-05-24 01:33:34,EMPRESARIAL,2023-05-02 00:00:00
CLIENTE194,SOBRENOME194,24,194.0,DESC 1,2025-03-01 00:00:00,78858640785,CLIENTE97,2024-05-24 01:33:34,EMPRESARIAL,2023-05-02 00:00:00
CLIENTE194,SOBRENOME194,24,45.0,DESC 5,2025-01-20 00:00:00,73012196501,CLIENTE86,2024-05-10 05:05:23,EMPRESARIAL,2023-05-02 00:00:00
CLIENTE194,SOBRENOME194,24,82.0,DESC 5,2025-01-23 00:00:00,73012196501,CLIENTE86,2024-05-10 05:05:23,EMPRESARIAL,2023-05-02 00:00:00
CLIENTE135,SOBRENOME135,42,39.0,DESC 5,2025-02-28 00:00:00,77509533952,CLIENTE80,2024-03-14 07:29:36,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,76.0,DESC 5,2025-02-14 00:00:00,77509533952,CLIENTE80,2024-03-14 07:29:36,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,50.0,DESC 5,2025-02-17 00:00:00,77509533952,CLIENTE80,2024-03-14 07:29:36,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,156.0,DESC 3,2025-01-15 00:00:00,77509533952,CLIENTE80,2024-03-14 07:29:36,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,186.0,DESC 2,2025-01-28 00:00:00,77509533952,CLIENTE80,2024-03-14 07:29:36,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,198.0,DESC 5,2025-01-16 00:00:00,87409660529,CLIENTE191,2024-04-07 03:26:23,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,187.0,DESC 3,2025-01-27 00:00:00,87409660529,CLIENTE191,2024-04-07 03:26:23,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,8.0,DESC 2,2025-02-07 00:00:00,87409660529,CLIENTE191,2024-04-07 03:26:23,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,69.0,DESC 5,2025-02-03 00:00:00,57439188622,CLIENTE5,2024-07-06 10:37:33,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,186.0,DESC 3,2025-02-06 00:00:00,57439188622,CLIENTE5,2024-07-06 10:37:33,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE135,SOBRENOME135,42,42.0,DESC 3,2025-01-28 00:00:00,57439188622,CLIENTE5,2024-07-06 10:37:33,EMPRESARIAL,2023-08-14 00:00:00
CLIENTE124,SOBRENOME124,63,120.0,DESC 5,2025-02-15 00:00:00,85469408546,CLIENTE156,2024-03-20 05:24:32,POUPANCA,2023-08-14 00:00:00
CLIENTE148,SOBRENOME148,78,70.0,DESC 5,2025-01-16 00:00:00,82376356532,CLIENTE121,2024-02-15 09:45:11,EMPRESARIAL,2024-07-28 00:00:00
CLIENTE148,SOBRENOME148,78,7.0,DESC 5,2025-01-17 00:00:00,82376356532,CLIENTE121,2024-02-15 09:45:11,EMPRESARIAL,2024-07-28 00:00:00
CLIENTE148,SOBRENOME148,78,146.0,DESC 3,2025-01-21 00:00:00,82376356532,CLIENTE121,2024-02-15 09:45:11,EMPRESARIAL,2024-07-28 00:00:00
CLIENTE153,SOBRENOME153,70,49.0,DESC 5,2025-02-22 00:00:00,84506686531,CLIENTE110,2024-02-09 06:14:42,POUPANCA,2024-11-19 00:00:00
CLIENTE153,SOBRENOME153,70,171.0,DESC 5,2025-01-07 00:00:00,84506686531,CLIENTE110,2024-02-09 06:14:42,POUPANCA,2024-11-19 00:00:00
CLIENTE153,SOBRENOME153,70,73.0,DESC 5,2025-01-03 00:00:00,84506686531,CLIENTE110,2024-02-09 06:14:42,POUPANCA,2024-11-19 00:00:00
CLIENTE153,SOBRENOME153,70,196.0,DESC 5,2025-01-30 00:00:00,91926260103,CLIENTE31,2024-05-29 09:33:20,POUPANCA,2024-11-19 00:00:00
CLIENTE154,SOBRENOME154,64,38.0,DESC 5,2025-02-18 00:00:00,70020814308,CLIENTE119,2024-02-28 01:46:25,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE154,SOBRENOME154,64,50.0,DESC 5,2025-02-14 00:00:00,70020814308,CLIENTE119,2024-02-28 01:46:25,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE154,SOBRENOME154,64,109.0,DESC 5,2025-01-27 00:00:00,70020814308,CLIENTE119,2024-02-28 01:46:25,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE154,SOBRENOME154,64,137.0,DESC 5,2025-02-03 00:00:00,70020814308,CLIENTE119,2024-02-28 01:46:25,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE154,SOBRENOME154,64,125.0,DESC 5,2025-02-03 00:00:00,67523133268,CLIENTE168,2024-05-02 03:02:16,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE154,SOBRENOME154,64,91.0,DESC 2,2025-02-06 00:00:00,67523133268,CLIENTE168,2024-05-02 03:02:16,EMPRESARIAL,2023-03-29 00:00:00
CLIENTE102,SOBRENOME102,52,28.0,DESC 5,2025-01-16 00:00:00,51360845217,CLIENTE74,2024-02-10 01:00:27,POUPANCA,2023-04-04 00:00:00
CLIENTE102,SOBRENOME102,52,83.0,DESC 5,2025-03-01 00:00:00,51360845217,CLIENTE74,2024-02-10 01:00:27,POUPANCA,2023-04-04 00:00:00
CLIENTE102,SOBRENOME102,52,130.0,DESC 5,2025-02-05 00:00:00,51360845217,CLIENTE74,2024-02-10 01:00:27,POUPANCA,2023-04-04 00:00:00
CLIENTE102,SOBRENOME102,52,16.0,DESC 5,2025-01-29 00:00:00,51360845217,CLIENTE74,2024-02-10 01:00:27,POUPANCA,2023-04-04 00:00:00
CLIENTE94,SOBRENOME94,44,157.0,DESC 5,2025-02-14 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,53.0,DESC 5,2025-01-05 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,62.0,DESC 5,2025-01-21 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,145.0,DESC 5,2025-01-04 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,182.0,DESC 2,2025-02-13 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,110.0,DESC 5,2025-02-17 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE94,SOBRENOME94,44,128.0,DESC 1,2025-01-10 00:00:00,87126846202,CLIENTE151,2024-07-19 01:30:05,EMPRESARIAL,2024-08-04 00:00:00
CLIENTE124,SOBRENOME124,63,63.0,DESC 5,2025-01-26 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,21.0,DESC 5,2025-01-12 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,97.0,DESC 5,2025-01-18 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,106.0,DESC 5,2025-01-12 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,85.0,DESC 5,2025-01-16 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,43.0,DESC 2,2025-01-26 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,60.0,DESC 5,2025-01-03 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE124,SOBRENOME124,63,157.0,DESC 4,2025-01-16 00:00:00,57156930063,CLIENTE95,2024-01-05 12:03:50,EMPRESARIAL,2023-10-24 00:00:00
CLIENTE126,SOBRENOME126,79,119.0,DESC 5,2025-02-08 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,12.0,DESC 5,2025-01-31 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,185.0,DESC 5,2025-01-03 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,167.0,DESC 5,2025-02-15 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,75.0,DESC 5,2025-02-27 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,37.0,DESC 5,2025-02-27 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,87.0,DESC 2,2025-01-10 00:00:00,62193130899,CLIENTE14,2024-04-02 09:52:12,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,128.0,DESC 5,2025-01-07 00:00:00,63734111072,CLIENTE23,2024-02-22 09:32:26,POUPANCA,2024-01-31 00:00:00
CLIENTE126,SOBRENOME126,79,30.0,DESC 4,2025-02-06 00:00:00,63734111072,CLIENTE23,2024-02-22 09:32:26,POUPANCA,2024-01-31 00:00:00
CLIENTE93,SOBRENOME93,60,21.0,DESC 5,2025-03-01 00:00:00,86694093598,CLIENTE10,2024-01-06 00:20:08,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,180.0,DESC 5,2025-01-02 00:00:00,86694093598,CLIENTE10,2024-01-06 00:20:08,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,35.0,DESC 3,2025-02-28 00:00:00,86694093598,CLIENTE10,2024-01-06 00:20:08,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,68.0,DESC 5,2025-01-27 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,85.0,DESC 5,2025-01-16 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,57.0,DESC 5,2025-01-16 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,91.0,DESC 5,2025-02-16 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,38.0,DESC 5,2025-01-08 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,55.0,DESC 2,2025-02-22 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE93,SOBRENOME93,60,102.0,DESC 1,2025-01-20 00:00:00,61058372656,CLIENTE3,2024-05-07 06:02:17,EMPRESARIAL,2023-01-21 00:00:00
CLIENTE190,SOBRENOME190,43,148.0,DESC 5,2025-02-09 00:00:00,56816945302,CLIENTE66,2024-04-27 11:18:27,POUPANCA,2024-06-16 00:00:00
CLIENTE190,SOBRENOME190,43,62.0,DESC 5,2025-02-19 00:00:00,56816945302,CLIENTE66,2024-04-27 11:18:27,POUPANCA,2024-06-16 00:00:00
CLIENTE190,SOBRENOME190,43,196.0,DESC 3,2025-02-25 00:00:00,56816945302,CLIENTE66,2024-04-27 11:18:27,POUPANCA,2024-06-16 00:00:00
CLIENTE15,SOBRENOME15,20,30.0,DESC 5,2025-03-01 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,186.0,DESC 5,2025-02-27 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,102.0,DESC 5,2025-01-16 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,128.0,DESC 5,2025-01-15 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,179.0,DESC 3,2025-02-17 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,148.0,DESC 5,2025-02-09 00:00:00,89010732053,CLIENTE172,2024-07-10 19:27:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,83.0,DESC 5,2025-02-27 00:00:00,55512551892,CLIENTE181,2024-04-01 14:13:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,23.0,DESC 5,2025-02-28 00:00:00,55512551892,CLIENTE181,2024-04-01 14:13:38,POUPANCA,2024-08-14 00:00:00
CLIENTE15,SOBRENOME15,20,114.0,DESC 5,2025-01-27 00:00:00,55512551892,CLIENTE181,2024-04-01 14:13:38,POUPANCA,2024-08-14 00:00:00
